emp_id,bank_name,bank_account_num,ifsc_code
EMP00001,HDFC Bank,86281834543,HDFC0553120
EMP00002,State Bank of India,106966741596,STAT0230799
EMP00003,Canara Bank,416562778005,CANA0131762
EMP00004,Canara Bank,567470959970,CANA0303653
EMP00005,Axis Bank,908754207178,AXIS0658948
EMP00006,Kotak Mahindra Bank,158233982322,KOTA0631459
EMP00007,ICICI Bank,833038225118,ICIC0804807
EMP00008,HDFC Bank,858629988253,HDFC0426320
EMP00009,HDFC Bank,227315049363,HDFC0796580
EMP00010,Punjab National Bank,802879552001,PUNJ0208996
EMP00011,Kotak Mahindra Bank,936623246059,KOTA0516351
EMP00012,ICICI Bank,258517845160,ICIC0235414
EMP00013,Canara Bank,380054413171,CANA0915790
EMP00014,State Bank of India,511161348799,STAT0668633
EMP00015,Punjab National Bank,549499414663,PUNJ0442669
EMP00016,HDFC Bank,191911484957,HDFC0229805
EMP00017,ICICI Bank,72555061988,ICIC0147617
EMP00018,HDFC Bank,810172514197,HDFC0325884
EMP00019,HDFC Bank,490045198176,HDFC0419647
EMP00020,HDFC Bank,532597789202,HDFC0719456
EMP00021,Canara Bank,691134394616,CANA0158242
EMP00022,Axis Bank,881049780479,AXIS0695979
EMP00023,Axis Bank,950437478317,AXIS0228972
EMP00024,ICICI Bank,529519514747,ICIC0820163
EMP00025,HDFC Bank,208032303410,HDFC0177800
EMP00026,Kotak Mahindra Bank,975450315089,KOTA0435545
EMP00027,Punjab National Bank,663887562283,PUNJ0832079
EMP00028,State Bank of India,138461402183,STAT0882536
EMP00029,Kotak Mahindra Bank,944918833299,KOTA0257609
EMP00030,Punjab National Bank,641003984023,PUNJ0264842
EMP00031,Kotak Mahindra Bank,382244570201,KOTA0945919
EMP00032,Canara Bank,818701999125,CANA0895507
EMP00033,Punjab National Bank,14012200343,PUNJ0988500
EMP00034,Punjab National Bank,873273326817,PUNJ0933368
EMP00035,State Bank of India,157931831295,STAT0893239
EMP00036,Axis Bank,425445469184,AXIS0523887
EMP00037,Kotak Mahindra Bank,461873352430,KOTA0437693
EMP00038,HDFC Bank,347874388854,HDFC0502817
EMP00039,Kotak Mahindra Bank,554578717190,KOTA0785126
EMP00040,State Bank of India,719327828201,STAT0496601
EMP00041,State Bank of India,783512048371,STAT0941213
EMP00042,Canara Bank,351572473956,CANA0954460
EMP00043,Canara Bank,591584506274,CANA0615146
EMP00044,Axis Bank,519546791834,AXIS0161490
EMP00045,Kotak Mahindra Bank,494417002569,KOTA0352617
EMP00046,Punjab National Bank,701807311922,PUNJ0718166
EMP00047,State Bank of India,562262991474,STAT0402241
EMP00048,Kotak Mahindra Bank,414697856147,KOTA0434185
EMP00049,Kotak Mahindra Bank,268944974317,KOTA0747552
EMP00050,Canara Bank,71290299117,CANA0760828
EMP00051,Punjab National Bank,363865456474,PUNJ0855272
EMP00052,ICICI Bank,893968754795,ICIC0999092
EMP00053,HDFC Bank,83606009396,HDFC0342035
EMP00054,State Bank of India,26918245396,STAT0912595
EMP00055,ICICI Bank,943884285741,ICIC0161461
EMP00056,Kotak Mahindra Bank,666180749192,KOTA0730344
EMP00057,ICICI Bank,809554804898,ICIC0693990
EMP00058,ICICI Bank,186356968856,ICIC0148407
EMP00059,State Bank of India,777740894446,STAT0482372
EMP00060,Canara Bank,411248844304,CANA0456684
EMP00061,Punjab National Bank,937472059527,PUNJ0382260
EMP00062,Punjab National Bank,800565187169,PUNJ0601009
EMP00063,Axis Bank,167678750171,AXIS0411951
EMP00064,State Bank of India,327647481847,STAT0754103
EMP00065,State Bank of India,628728465018,STAT0885468
EMP00066,ICICI Bank,616841197087,ICIC0144887
EMP00067,ICICI Bank,933283595815,ICIC0751817
EMP00068,Kotak Mahindra Bank,550374798634,KOTA0924766
EMP00069,Kotak Mahindra Bank,304135187448,KOTA0553366
EMP00070,Canara Bank,372487738990,CANA0293945
EMP00071,Canara Bank,596757839063,CANA0914417
EMP00072,Canara Bank,327061932729,CANA0189669
EMP00073,Canara Bank,49823195534,CANA0700359
EMP00074,ICICI Bank,215282494971,ICIC0766268
EMP00075,HDFC Bank,588802058887,HDFC0663750
EMP00076,Axis Bank,573667463269,AXIS0879823
EMP00077,Punjab National Bank,342719186954,PUNJ0253607
EMP00078,ICICI Bank,716210960332,ICIC0446757
EMP00079,ICICI Bank,409569710785,ICIC0520201
EMP00080,Punjab National Bank,853021941165,PUNJ0561780
EMP00081,HDFC Bank,191462940245,HDFC0351636
EMP00082,Punjab National Bank,364244275625,PUNJ0894800
EMP00083,Punjab National Bank,883191251276,PUNJ0778743
EMP00084,Punjab National Bank,188869303505,PUNJ0715265
EMP00085,Kotak Mahindra Bank,106462729578,KOTA0865794
EMP00086,Axis Bank,227808099216,AXIS0970424
EMP00087,ICICI Bank,469559153159,ICIC0414185
EMP00088,State Bank of India,487662449401,STAT0832847
EMP00089,Punjab National Bank,541996774179,PUNJ0697861
EMP00090,HDFC Bank,589181999443,HDFC0220398
EMP00091,Kotak Mahindra Bank,249142827952,KOTA0110136
EMP00092,ICICI Bank,481024601585,ICIC0503207
EMP00093,Kotak Mahindra Bank,478649706252,KOTA0986973
EMP00094,State Bank of India,328402540966,STAT0357235
EMP00095,State Bank of India,579659525263,STAT0515601
EMP00096,ICICI Bank,81507539570,ICIC0126684
EMP00097,Canara Bank,728045557488,CANA0515436
EMP00098,Kotak Mahindra Bank,743010367730,KOTA0757218
EMP00099,ICICI Bank,228592928861,ICIC0487864
EMP00100,Punjab National Bank,743764856864,PUNJ0324994
EMP00101,Punjab National Bank,408837635173,PUNJ0206033
EMP00102,Kotak Mahindra Bank,543861254649,KOTA0444645
EMP00103,HDFC Bank,659936620449,HDFC0151712
EMP00104,Axis Bank,995869724371,AXIS0424950
EMP00105,State Bank of India,693561805466,STAT0166875
EMP00106,Canara Bank,249609274564,CANA0598935
EMP00107,Axis Bank,292650879660,AXIS0125735
EMP00108,Axis Bank,531131898579,AXIS0571902
EMP00109,Kotak Mahindra Bank,107327941403,KOTA0473910
EMP00110,Canara Bank,700287343442,CANA0311075
EMP00111,HDFC Bank,450416858714,HDFC0954916
EMP00112,Canara Bank,714995713726,CANA0199351
EMP00113,Canara Bank,161379610203,CANA0402097
EMP00114,HDFC Bank,219185902732,HDFC0276246
EMP00115,Punjab National Bank,53736124248,PUNJ0349658
EMP00116,Canara Bank,464150470166,CANA0800945
EMP00117,Axis Bank,733824045739,AXIS0469759
EMP00118,Kotak Mahindra Bank,496823160505,KOTA0563957
EMP00119,Canara Bank,585981591005,CANA0154067
EMP00120,Kotak Mahindra Bank,228001026228,KOTA0210025
EMP00121,Kotak Mahindra Bank,279339854835,KOTA0867358
EMP00122,State Bank of India,243223181630,STAT0571574
EMP00123,Axis Bank,900573334720,AXIS0393780
EMP00124,Axis Bank,49009460766,AXIS0760001
EMP00125,Punjab National Bank,335819196104,PUNJ0907762
EMP00126,Canara Bank,515622860719,CANA0675861
EMP00127,State Bank of India,814455654806,STAT0211293
EMP00128,Kotak Mahindra Bank,577501268859,KOTA0247276
EMP00129,HDFC Bank,291885121280,HDFC0123903
EMP00130,Punjab National Bank,967300619846,PUNJ0863961
EMP00131,Punjab National Bank,161586376596,PUNJ0712114
EMP00132,HDFC Bank,156929069325,HDFC0721466
EMP00133,Punjab National Bank,835940014883,PUNJ0474334
EMP00134,State Bank of India,644306471252,STAT0765658
EMP00135,Punjab National Bank,160833067016,PUNJ0505186
EMP00136,ICICI Bank,542823822911,ICIC0454787
EMP00137,Canara Bank,595077709971,CANA0186411
EMP00138,Punjab National Bank,731592163098,PUNJ0189790
EMP00139,Kotak Mahindra Bank,422890886298,KOTA0687697
EMP00140,HDFC Bank,916668333129,HDFC0518610
EMP00141,ICICI Bank,520433106258,ICIC0297236
EMP00142,Punjab National Bank,281914120552,PUNJ0882889
EMP00143,Punjab National Bank,247802283356,PUNJ0627808
EMP00144,HDFC Bank,158048859561,HDFC0156596
EMP00145,Canara Bank,588894968508,CANA0872060
EMP00146,State Bank of India,736173355312,STAT0942612
EMP00147,Kotak Mahindra Bank,368514351454,KOTA0953743
EMP00148,Canara Bank,540100512987,CANA0964716
EMP00149,Canara Bank,804508171944,CANA0515570
EMP00150,State Bank of India,992828927139,STAT0111479
EMP00151,Axis Bank,805722504013,AXIS0930099
EMP00152,Axis Bank,163951587153,AXIS0329287
EMP00153,State Bank of India,888098862374,STAT0344634
EMP00154,Punjab National Bank,737409228566,PUNJ0916818
EMP00155,HDFC Bank,940745754941,HDFC0160249
EMP00156,HDFC Bank,858258101621,HDFC0424096
EMP00157,Punjab National Bank,206990838680,PUNJ0196093
EMP00158,Punjab National Bank,267331488804,PUNJ0319530
EMP00159,HDFC Bank,844177277785,HDFC0977873
EMP00160,ICICI Bank,763216657929,ICIC0776303
EMP00161,Kotak Mahindra Bank,927733951364,KOTA0563390
EMP00162,Punjab National Bank,758306869466,PUNJ0579550
EMP00163,Kotak Mahindra Bank,178468420013,KOTA0991756
EMP00164,Kotak Mahindra Bank,697914183804,KOTA0690014
EMP00165,Axis Bank,787326590354,AXIS0119377
EMP00166,Axis Bank,69143203444,AXIS0836545
EMP00167,State Bank of India,714827868337,STAT0860836
EMP00168,Axis Bank,824786473087,AXIS0446922
EMP00169,Canara Bank,11880154432,CANA0306743
EMP00170,Axis Bank,537927363134,AXIS0496605
EMP00171,State Bank of India,302690636498,STAT0375531
EMP00172,Canara Bank,62195622472,CANA0949228
EMP00173,Axis Bank,633610787593,AXIS0559585
EMP00174,Canara Bank,341278810795,CANA0479119
EMP00175,State Bank of India,758174665330,STAT0241397
EMP00176,ICICI Bank,513253151226,ICIC0856681
EMP00177,Axis Bank,769130306423,AXIS0991504
EMP00178,Canara Bank,919310881487,CANA0839110
EMP00179,Kotak Mahindra Bank,524695349813,KOTA0841881
EMP00180,Kotak Mahindra Bank,956022407829,KOTA0694980
EMP00181,Punjab National Bank,506132381509,PUNJ0418885
EMP00182,Kotak Mahindra Bank,326336464089,KOTA0834394
EMP00183,ICICI Bank,184793998492,ICIC0817965
EMP00184,Punjab National Bank,723411375846,PUNJ0824199
EMP00185,Kotak Mahindra Bank,550764127333,KOTA0993040
EMP00186,Kotak Mahindra Bank,562983497174,KOTA0462391
EMP00187,ICICI Bank,235583239867,ICIC0223994
EMP00188,Punjab National Bank,498795137910,PUNJ0229954
EMP00189,State Bank of India,609122325952,STAT0469602
EMP00190,HDFC Bank,139660459161,HDFC0243944
EMP00191,Axis Bank,113014332952,AXIS0771629
EMP00192,ICICI Bank,765406284279,ICIC0726218
EMP00193,ICICI Bank,493614697351,ICIC0597150
EMP00194,State Bank of India,42924212169,STAT0880449
EMP00195,Axis Bank,354183964481,AXIS0367122
EMP00196,Canara Bank,588051334901,CANA0509188
