employee_id,username,email,password_hash,role
EMP00001,udarsh.venkataraman460@hrsm.com,udarsh.venkataraman460@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00002,rushil.kakar513@hrsm.com,rushil.kakar513@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00003,oscar.sachdev730@hrsm.com,oscar.sachdev730@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00004,vedant.de423@hrsm.com,vedant.de423@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00005,qushi.sarma692@hrsm.com,qushi.sarma692@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00006,ekantika.sibal374@hrsm.com,ekantika.sibal374@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00007,jeremiah.handa760@hrsm.com,jeremiah.handa760@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00008,gopal.edwin458@hrsm.com,gopal.edwin458@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00009,wridesh.gokhale767@hrsm.com,wridesh.gokhale767@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Admin
EMP00010,bahadurjit.nori984@hrsm.com,bahadurjit.nori984@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00011,kamya.kapur490@hrsm.com,kamya.kapur490@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00012,krishna.yohannan140@hrsm.com,krishna.yohannan140@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00013,praneel.gour315@hrsm.com,praneel.gour315@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00014,urishilla.mangat181@hrsm.com,urishilla.mangat181@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00015,ekiya.venkatesh381@hrsm.com,ekiya.venkatesh381@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00016,triya.gara181@hrsm.com,triya.gara181@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00017,aashi.de245@hrsm.com,aashi.de245@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00018,aahana.gera68@hrsm.com,aahana.gera68@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00019,vaishnavi.raman333@hrsm.com,vaishnavi.raman333@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00020,zinal.kaul476@hrsm.com,zinal.kaul476@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00021,harshil.thakkar35@hrsm.com,harshil.thakkar35@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00022,amrita.chana861@hrsm.com,amrita.chana861@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00023,xiti.hegde856@hrsm.com,xiti.hegde856@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00024,radhika.wason3@hrsm.com,radhika.wason3@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00025,ekansh.thaker999@hrsm.com,ekansh.thaker999@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00026,daksha.chaudry252@hrsm.com,daksha.chaudry252@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00027,devansh.devan851@hrsm.com,devansh.devan851@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00028,upasna.sant263@hrsm.com,upasna.sant263@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00029,falguni.oza969@hrsm.com,falguni.oza969@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,HR
EMP00030,bishakha.nazareth189@hrsm.com,bishakha.nazareth189@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Employee
EMP00031,saumya.bera979@hrsm.com,saumya.bera979@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Employee
EMP00032,vasana.dada654@hrsm.com,vasana.dada654@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Employee
EMP00033,ronith.kashyap417@hrsm.com,ronith.kashyap417@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Employee
EMP00034,tripti.kannan92@hrsm.com,tripti.kannan92@hrsm.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Employee
